id,name,type
2977,牛蒡子,中药
2978,牛募子,中药
2979,牛膝,中药
2980,女贞子,中药
2981,藕节,中药
2982,藕汁,中药
2983,炮附子,中药
2984,炮姜炭,中药
2985,枇杷叶,中药
2986,蜱蜕,中药
2987,蒲公英,中药
2988,蒲黄,中药
2989,葜荆子,中药
2990,前胡,中药
2991,茜草,中药
2992,羌活,中药
2993,秦艽,中药
2994,秦皮,中药
2995,青黛,中药
2996,青皮,中药
2997,青葙子,中药
2998,全瓜蒌,中药
2999,人参,中药
3000,忍冬藤,中药
3001,肉苁蓉,中药
3002,肉桂,中药
3003,桑白皮,中药
3004,桑寄牛,中药
3005,桑寄生,中药
3006,桑螵蛸,中药
3007,桑叶,中药
3008,桑枝处,中药
3009,沙参,中药
3010,砂仁,中药
3011,砂仁壳,中药
3012,山慈菇,中药
3013,山药,中药
3014,山楂,中药
3015,山茱萸,中药
3016,芍药,中药
3017,麝香,中药
3018,神曲,中药
3019,升麻,中药
3020,生白芍,中药
3021,生扁豆,中药
3022,生鳖甲,中药
3023,生地黄,中药
3024,生扼子,中药
3025,生甘萆,中药
3026,生甘草,中药
3027,生瓜蒌根,中药
3028,生龟甲,中药
3029,生黄芪,中药
3030,生姜,中药
3031,生牡蛎,中药
3032,生石膏,中药
3033,生石决明,中药
3034,生薏苡仁,中药
3035,生栀子,中药
3036,生梓白皮,中药
3037,十膝,中药
3038,石菖蒲,中药
3039,石斛,中药
3040,使君子,中药
3041,首乌,中药
3042,熟大黄,中药
3043,熟地,中药
3044,熟地黄,中药
3045,熟干地黄,中药
3046,水香,中药
3047,丝瓜络,中药
3048,松节,中药
3049,苏子,中药
3050,锁阳,中药
3051,桃仁,中药
3052,桃仁丹皮,中药
3053,桃仁泥,中药
3054,天冬,中药
3055,天花粉,中药
3056,天麻,中药
3057,天竺黄,中药
3058,田七,中药
3059,通草,中药
3060,透骨草,中药
3061,土贝母,中药
3062,菟铭子,中药
3063,菟丝子,中药
3064,王不留行,中药
3065,威灵仙,中药
3066,煨诃子肉,中药
3067,煨肉豆葱,中药
3068,乌梢蛇,中药
3069,乌蛇,中药
3070,乌犀角,中药
3071,乌药,中药
3072,五味子,中药
3073,细生地黄,中药
3074,细辛,中药
3075,夏枯草,中药
3076,夏枯单,中药
3077,仙茅,中药
3078,鲜凤仙花,中药
3079,鲜生地黄,中药
3080,鲜首乌,中药
3081,鲜竹茹,中药
3082,鲜竹叶,中药
3083,香附,中药
3084,香墨,中药
3085,象贝母,中药
3086,小黑豆,中药
