id,name,type
3156,阿胶神曲煎,方剂
3157,阿胶四苓散,方剂
3158,阿胶汤,方剂
3159,阿胶丸,方剂
3160,阿胶五苓散,方剂
3161,阿胶饮,方剂
3162,阿胶饮子,方剂
3163,阿胶枳壳丸,方剂
3164,阿胶粥,方剂
3165,阿魏膏,方剂
3166,阿魏化痞膏,方剂
3167,阿魏化痞散,方剂
3168,阿魏理中丸,方剂
3169,阿魏软坚散,方剂
3170,阿魏麝香散,方剂
3171,阿魏丸,方剂
3172,阿魏消痞丸,方剂
3173,艾柏饮,方剂
3174,艾附暖宫丸,方剂
3175,艾附女珍丸,方剂
3176,艾附丸,方剂
3177,艾煎茯苓散,方剂
3178,艾煎丸,方剂
3179,艾叶散,方剂
3180,艾叶汤,方剂
3181,艾叶涂方,方剂
3182,艾叶洗剂,方剂
3183,艾叶饮,方剂
3184,安冲汤,方剂
3185,安冲调经汤,方剂
3186,安虫散,方剂
3187,安喘至圣丹,方剂
3188,安奠二天汤,方剂
3189,安东散,方剂
3190,安儿至宝汤,方剂
3191,安肺定嗽丸,方剂
3192,安肺散,方剂
3193,安蛔理中汤,方剂
3194,安蛔散,方剂
3195,安魂汤,方剂
3196,安经汤,方剂
3197,安老汤,方剂
3198,安乐散.,方剂
3199,安露饮,方剂
3200,安寐丹,方剂
3201,安眠散,方剂
3202,安脐散,方剂
3203,安然汤,方剂
3204,安荣散,方剂
3205,安荣汤,方剂
3206,安荣养胎汤,方剂
3207,安神补心丸,方剂
3208,安神固精丸,方剂
3209,安神滚痰丸,方剂
3210,安神散,方剂
3211,安神生化汤,方剂
3212,安神汤,方剂
3213,安神丸,方剂
3214,安神饮,方剂
3215,安神镇惊丸,方剂
3216,安肾汤,方剂
3217,安肾丸,方剂
3218,安石榴汤,方剂
3219,安睡丹,方剂
3220,安嗽膏,方剂
3221,安胎白术散,方剂
3222,安胎当归汤,方剂
3223,安胎和气散,方剂
3224,安胎和伤汤,方剂
3225,安胎寄生汤,方剂
3226,安胎如圣饮,方剂
3227,安胎顺血汤,方剂
