痰火扰神证,痰热扰神证,痰火扰心证,痰热扰心证,痰火闭窍证
痰迷心窍证,痰蒙心窍证,痰阻心窍证,痰闭心窍证,痰迷心神证,痰蒙心神证,痰阻心神证,痰闭心神证,
痰湿蒙闭心窍证,痰湿蒙闭心神证
风痰闭神证,风痰闭窍证
浊毒闭神证,浊毒闭窍证
气闭神厥证,气郁神闭证
瘀阻脑络证,瘀阻脑窍证
忧伤神气证,忧郁伤神证
肺气虚证,肺气亏虚证
肺阳虚证,肺虚寒证
肺阴虚证,肺阴亏虚证,肺虚热证
肺卫气虚证,肺卫气虚不固证,肺虚表疏证
阴虚肺燥证,肺燥津亏证,肺燥阴虚证
肺热炽盛证,肺热壅盛证,肺实热证,肺火证,邪热壅肺证
肺热阴虚证,肺热津伤证,阴虚肺热证
肺经郁火证,肺经郁热证
肺热血瘀证,肺热瘀滞证
邪郁肺卫证,邪侵肺卫证
痰热壅肺证,痰火壅肺证,痰热蕴肺证,痰火蕴肺证
痰浊阻肺证,痰湿阻肺证,痰浊蕴肺证,痰湿蕴肺证
痰瘀阻肺证,瘀痰阻肺证
风寒袭肺证,风寒束肺证
寒饮停肺证,饮邪客肺证,饮邪犯肺证
肺热饮停证,热饮阻肺证
寒痰阻肺证,寒痰停肺证
燥邪犯肺证,燥邪伤肺证
温燥袭肺证,温燥伤肺证
燥痰结肺证,燥痰阻肺证
热毒闭肺证,火毒闭肺证
虫毒犯肺证,虫毒侵肺证
脾气虚证,脾气亏虚证
脾气下陷证,中气下陷证,,脾虚气陷证
脾不统血证,脾不摄血证
脾阳虚证,脾阳亏虚证,脾阳虚衰证,脾虚寒证
脾阴虚证,脾阴亏虚证
脾虚动风证,脾气虚动风证
脾虚水泛证,脾虚水停证,脾虚水湿证,脾气虚水泛证,脾气虚水停证,脾气虚水湿证
脾阳虚水泛证,脾阳虚水停证
脾虚湿困证,虚湿蕴证,虚湿盛证,虚湿泛证,脾虚夹湿证
脾虚食积证,脾虚夹食证
湿热蕴脾证,湿热困脾证,脾经湿热证
寒湿困脾证,寒湿蕴脾证,湿困脾阳证,太阴寒湿证,寒湿中阻证
胃气虚证,胃气亏虚证
胃气阴两虚证,胃气阴两亏证
胃热气逆证,胃火气逆证
胃阳虚证,胃阳亏虚证,胃虚寒证
胃阴虚证,胃阴亏虚证,胃虚热证
胃火炽证,胃热炽证,胃火炽盛证,胃热炽盛证,胃实热证
胃热津伤证,胃热津亏证,胃热津亏证
胃燥津伤证,胃燥津亏证
肠道湿热证,大肠湿热证
小肠实热证,心移热膀胱证
大肠热结证,肠道热结证,大肠实热证,肠道实热证,肠热腑实证,热结肠燥证
肠道津亏证,肠燥津亏证,大肠津亏证,大肠液亏证
血虚肠燥证,血虚肠结证
阴虚肠燥证,肠燥阴虚证
湿阻肠道证,湿滞肠道证,湿蕴肠道证
肠道气滞证,小肠气滞证
虫积肠道证,虫积小肠证
蛔结肠闭证,虫积肠闭证,虫阻肠闭证
脾胃阴虚证,中焦阴虚证,脾胃虚热证,中焦虚热证
脾胃阳虚证,中焦阳虚证,脾胃虚寒证,中焦虚寒证
脾胃阳虚气滞证,中焦阳虚气滞证,脾胃虚寒气滞证,中焦虚寒气滞证
脾胃气阴两虚证,脾胃气阴亏虚证
脾胃实热证,中焦实热证,脾胃积热证,中焦积热证,脾胃热盛证,中焦热盛证
脾胃湿热证,中焦湿热证,湿热中阻证
脾胃不和证,中焦不和证,脾胃气滞证,中焦气滞证
胃肠实热证,胃肠积热证
食滞胃肠证,食积胃肠证
肠气滞证,气滞胃肠证
瘀滞胃肠证,肠胃瘀滞证,肠胃血瘀证
痰湿中阻证,痰浊中阻证,痰饮中阻证
肝阴虚证,肝阴亏虚证,肝虚热证
肝血虚证,肝血亏虚证
肝气虚证,肝气亏虚证
肝阳虚证,肝阳亏虚证,肝虚寒证
肝阳上亢证,肝阳上扰证,肝阳亢盛证
肝阳暴亢证,风阳暴亢证
肝阴虚阳亢证,阴虚肝旺证
肝郁证,肝郁气滞证,肝气郁结证,肝气郁滞证
肝郁血虚证,血虚肝郁证
肝瘀证,肝血瘀证,肝瘀阻证,肝血瘀阻证,肝经血瘀证,瘀滞肝络证
肝虚血瘀证,血虚肝瘀证,肝瘀血虚证
肝郁化火证,气郁化火证,肝经郁热证
肝郁痰火证,肝郁痰热证,痰热郁肝证
肝瘀痰结证,肝瘀痰阻证
肝火炽盛证,肝火旺盛证,肝火亢盛证
肝经火旺证,肝经火盛证
肝郁湿热证,肝滞湿热证
热毒淤肝证,热毒瘀肝证
寒滞肝脉证,寒滞肝经证,肝经实寒证,肝寒证
肝热动风证,热动肝风证
胆气虚证,胆气亏虚证,胆虚气怯证
胆热痰扰证,胆经痰火证
虫扰胆膈证,虫扰胆腑证
肝胆火旺证,肝胆郁热证,肝胆实热证,肝胆火热证
胆经郁热证,胆火证,胆热证
肾气虚证,肾气亏虚证
肾气不固证,肾虚不固证
肾虚水泛证,肾虚水停证
肾气虚水泛证,肾气虚水停证
肾阳虚水泛证,肾阳虚水停证
肾阳虚证,元阳亏虚证,元阳虚衰证,命门火衰证
肾阴虚证,肾阴虚热证,真阴亏虚证,元阴亏虚证,肾水亏虚证
肾阴虚火旺证,肾阴虚内热证,相火偏旺证
肾精亏虚证,肾气亏虚证
肾虚寒湿证,肾经寒湿证
肾虚寒凝证,阳虚肾寒证
湿热蕴肾证,肾经湿热证
脓毒蕴肾证,肾经脓毒证
膀胱蕴热证,膀胱实热证,膀胱积热证,膀胱蓄热证,热积膀胱证
寒凝胞宫证,寒滞胞宫证,胞宫寒滞证
痰凝胞宫证,痰阻胞宫证,痰湿凝结胞宫证
瘀阻胞宫证,瘀滞胞脉证
胞宫虚寒证,胞宫阳虚证
胞宫湿热证,湿热蕴胞证
胞宫血热证,胞宫积热证
冲任失调证,冲任不调证
冲任瘀阻,名瘀阻冲任证,名瘀阻滞冲任证
痰湿阻滞精室证,痰湿凝结精室证,痰阻精室证
瘀阻精室证,瘀血阻精室证,,瘀阻滞精室证,瘀血阻滞精室证,精室瘀阻证
瘀浊阻滞精室证,精室瘀浊证
惊恐伤肾证,恐伤肾气证
心肾阴虚证,心肾虚热证
心肾不交证,心肾阴虚阳亢证,心肾阴虚火旺证
心肾阳虚证,心肾虚寒证
水气凌心证,肾水凌心证,心肾阳虚水泛证
心肾阴阳两虚证,心肾阴阳亏虚证
心肺热盛证,心肺实热证,心肺火旺证,热炽心肺证
心脾阳虚证,心脾虚寒证
心脾积热证,心脾实热证
心肝火旺证,心肝实热证,心肝热盛证
心肝气血两虚证,心肝气血亏虚证
心胆气虚证,心胆气虚不宁证,心虚胆怯证
肝肾亏虚证,肝肾亏损证,肝肾精血亏虚证,肝肾精血亏损证
肝肾阴虚证,肝肾虚火证
肝肾阴虚阳亢证,肝肾虚阳偏亢证,水不涵木证,肾虚肝旺证,肾虚肝亢证
肝郁脾虚证,肝滞脾虚证,肝脾不调证
肝旺脾虚证,肝木侮土证,脾虚肝旺证
肝脾湿热证,中焦湿热证
肝脾血瘀证,肝脾瘀滞证
肝胃不和证,肝胃不调证,肝气犯胃证
肝胃热盛证,肝胃积热证
肝胃气滞血瘀证,肝胃瘀滞证
肝胃气滞阴虚证,肝胃阴虚气滞证
肝火犯肺证,木火刑金证
肝肺热盛证,肝肺实热证,肝肺实火证
脾肺两虚证,脾肺气虚证,土不生金证
脾肾阳虚证,脾肾虚寒证
脾肾两虚证,脾肾亏虚证
脾肾不固证,脾肾气虚不固证,脾肾气陷证,脾肾气虚下陷证
肺肾气虚证,肾不纳气证,肾失摄纳证
肺肾阳虚证,水寒射肺证
肺胃火热证,肺胃热盛证
肺胃阴虚证,肺胃津亏证
邪袭卫表证,卫表证
风袭表疏证,风邪袭表证,表虚证
风寒束表证,寒邪束表证,表实寒证,风寒表证
风热犯表证,风热犯卫证,风热表证,卫分证
风湿袭表证,湿郁卫分证,湿郁卫表证,表湿证
外燥袭表证,风燥袭表证
温毒袭表证,热毒袭表证,火毒袭表证
湿毒蕴结肌肤证,肌肤湿毒证
热毒蕴结肌肤证,火毒蕴结肌肤证,肌肤热毒证
虫毒蕴肤证,虫毒袭肤证
湿热蕴结肌肤证,肌肤湿热证
湿痰蕴结肌肤证,肌肤痰湿证
风热郁滞肌肤证,风热蕴肤证,肌肤风热证
虫毒侵袭肌肤证,肌肤虫毒证
风水证,风水相搏证,风袭水泛证,风袭水停证
瘀滞肌肤证,肌肤瘀滞证
风痰上扰证,风痰上攻证
痰浊犯头证,痰湿犯头证
风阳上扰证,肝阳上扰证
瘀热犯头证,瘀热上蒙证
风热犯目证,风火犯目证,风热攻目证,风火攻目证
气轮风热证,风热外袭白睛证
气轮湿热证,湿热郁结白睛证
气轮血瘀证,白睛血瘀证
肉轮风热证,胞睑风热外袭
肉轮湿热证,胞睑湿热侵淫证
毒火犯耳证,热毒犯耳证
风寒袭咽证,风寒袭喉证
风热侵咽证,风热侵喉证
热毒攻喉证,火毒攻喉证,胃火燔咽证
瘀阻声带证,瘀血痹阻声带证
瘀阻咽喉证,瘀血痹阻咽喉证
风火犯齿证,风热犯齿证
风邪犯唇证,风邪犯口证
毒火攻唇证,毒火攻口证
湿热蒸口证,湿热蒸唇证
虚火灼口证,虚火灼唇证
血虚唇燥证,血虚口燥证
热毒攻舌证,火毒攻舌证
湿蒙清窍证,湿浊蒙窍证
痰蒙清窍证,痰浊上蒙证,痰浊上扰证,痰湿蒙窍证
风中经络证,风邪袭络证
风痰入络证,风痰阻络证
风热中络证,风热阻络证
寒滞经脉证,风寒袭络证,风寒阻络证
风毒入络证,风毒入脉证
火毒窜络证,热毒窜络证,火毒入络证,热毒入络证
寒湿阻络证,寒湿入络证
痰湿阻络证,痰湿阻痹证
瘀热入络证,血热伤络证,热蕴络瘀证
瘀血阻络证,瘀阻脉络证
风寒湿凝滞筋骨证,风寒湿阻证
伤损筋骨证,筋伤骨断证
络伤出血证,外伤络损证
痰湿流注证,痰湿流注经脉筋骨证
瘀阻胸胁证,瘀滞胸胁证,胸络不和证
瘀血阻膈证,膈下瘀阻证
湿热弥漫三焦证,三焦湿热证
瘀阻下焦证,下焦瘀滞证
表里俱寒证,表里实寒证
表里俱热证,表里实热证
初期,一期
中期,二期
后期,三期
收没期,疹回期
标本兼治,标本同治
扶正祛邪,扶正达邪
扶正固本,扶正培本
祛邪扶正,祛邪安正
寓攻于补,补中寓攻
正治法,逆治法
反治法,从治法
调理阴阳,调平阴阳,调整阴阳
辛温解表,辛温发汗,发表散寒
辛凉解表,辛凉透表
疏风清热,疏风泄热
解表清肺,疏风清肺
疏风和营,和营解表
疏风透疹,解表透疹
滋阴解表,滋阴发汗
助阳解表,助阳发汗
温经解表,温经发汗
开关涌吐,涌吐开关
清热攻下,泻火攻下,清热通腑,泻火通腑,清热通便,泻火通便,苦寒攻下,苦寒通下,峻下热结
温阳通便,温阳通下
攻下冷积,攻下寒积
润燥通便,润肠通便,增液通下,增液润肠,滋阴通下,滋阴攻下,滋阴通便,滋阴攻便
益气通下,益气通便
泻下逐水,攻下逐水,攻逐水饮
解表攻里,发表攻里,解表攻下,发表攻下
解表温里,发汗温里
和解透表,和解祛邪
开达膜原,透达膜原
调和肝脾,调理肝脾
疏肝理脾,疏肝和脾
疏肝健脾,疏肝补脾
抑肝扶脾,被脾泻肝,抑木扶土
调理肠胃,调和肠胃
调理脾胃,调和脾胃
健脾和胃,健中和胃,健脾安胃,健中安胃,补脾和胃,补脾安胃,补中和胃,补中安胃
调和]气血,调理气血,理气和血
